1 · Timeloop Traffic-Matrix Goals — Pair A,,,,,,,,,
Every traffic-matrix deliverable: placeholder replacement → LLaMA-2 7B/70B → scaling → sensitivity → energy. Owner pair assigned.,,,,,,,,,
Repo: github.com/Anmol-S314/veritx-research · tracks/t3-topology · NoC Research Programme Track 3,,,,,,,,,
,,,,,,,,,
PROGRESS,Total tasks,Done,In Progress,Blocked,% Complete,,,,
TM-09,Spatial model,Byte-total validation of every extracted matrix,Converter check: sum of matrix bytes == Timeloop reported data movement. Add assert to timeloop_to_matrix.py.,Validation assert in code + passing,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-10,Spatial model,Multi-instruction / multi-layer Timeloop runs (deck assignment),Chain multiple GEMMs (QKV → attn → FFN) and aggregate matrices per layer,"Per-layer + aggregate matrices, documented",Pair A (Abhishek + Shourayadip),,Not Started,,
TM-11,Scaling,Extract 32-tile LLaMA-2 7B matrices (attention + FFN),Regenerate with timeloop_to_matrix.py -n 32; update arch.yaml instances/meshX to 32,32x32 matrices; note how pattern changes vs 16,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-12,Scaling,Extract 64-tile LLaMA-2 7B matrices,-n 64; arch at 64 PEs. Largest 7B config.,64x64 matrices,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-13,Scaling,"LLaMA-2 70B at 16 tiles (80 layers, 64 heads)",Denser matrix than 7B expected — verify,70B 16-tile attention + FFN matrices + heatmap,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-14,Scaling,LLaMA-2 70B at 32 tiles,Larger tile counts change matrix significantly,32-tile 70B matrix,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-15,Scaling,LLaMA-2 70B at 64 tiles (largest configuration in study),Final paper-scale config; re-run with Accelergy energy,64-tile 70B matrix + energy result,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-16,Sensitivity,"Batch-size sweep: 1, 4, 8, 16 (16-tile 7B)",4 matrices; document whether spatial pattern shifts materially,4 matrices + 5-line finding,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-17,Sensitivity,"Context-length sweep: 512, 2K, 8K, 32K tokens (16-tile 7B)",4 matrices for Pair B's 12-run sweep,4 matrices tagged by context length,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-18,Sensitivity,Training traffic model: all-to-all matrix,Every tile sends equally to all others — generate in Booksim matrix format,Training matrix file,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-19,Sensitivity,20 random realistic-LLM traffic matrices (robustness set),"Script varying batch, head count, seq len within realistic ranges; seed-controlled for reproducibility",gen_random_matrices.py + 20 matrix files,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-20,Energy,Run make energy; connect Accelergy to Timeloop; record energy-per-byte at SRAM vs DRAM,make run TRACK=t3-topology CMD=energy → results/energy.json; extract pJ/byte per level,Energy-per-byte table (per memory level),Pair A (Abhishek + Shourayadip),,Not Started,,
TM-21,Energy,Re-run all key Timeloop experiments with Accelergy energy enabled (replace proxy),Month-4 pass: real energy numbers for every matrix feeding the final Pareto,Energy-validated dataset,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-22,Handover,Publish matrix naming convention + index of all matrices,"results/matrices/README: model, layer, tiles, batch, context per file",Matrix index committed,Pair A (Abhishek + Shourayadip),,Not Started,,
TM-23,Handover,Methodology section draft: Timeloop setup + traffic extraction (reproducible),"Written with Pair B, Week 15",Methodology draft,Pair A (Abhishek + Shourayadip),,Not Started,,
