3 · Custom Topology Plan — Key Differentiators,,,,,,,,,
From config-only topologies through anynet and Murali–De Micheli synthesis to custom C++ — and the four differentiators that make the paper novel.,,,,,,,,,
Repo: github.com/Anmol-S314/veritx-research · tracks/t3-topology · NoC Research Programme Track 3,,,,,,,,,
,,,,,,,,,
PROGRESS,Total tasks,Done,In Progress,Blocked,% Complete,,,,
CT-06,Config-only,Evaluate dragonflynew feasibility: n must be 1; no k gives 16 nodes (k=2 → 72),If pursued: regenerate matrix with timeloop_to_matrix.py -n 72; ugal needs exactly 3 VCs,Go/no-go decision documented,Sowmith + Abhitha,,Not Started,,Shouryadip and Abhishek to provide the traffic matrix
,Phase 1 — anynet: zero-C++ custom fabrics (fast differentiator path),,,,Sowmith + Abhitha,,Not Started,,
CT-07,anynet,"Learn anynet: arbitrary topology from adjacency file, routing min_anynet",network_file = <file> in cfg; smoke-test with hand-written 16-node graph,anynet smoke test passing,Sowmith + Abhitha,,Not Started,,
CT-08,anynet,Adjacency-list → anynet network_file converter in Python,Bridge from synthesis output (below) to Booksim,adj_to_anynet.py,Sowmith + Abhitha,,Not Started,,
,Phase 2 — Application-Specific Topology Synthesis (KEY DIFFERENTIATOR #1),,,,Sowmith + Abhitha,,Not Started,,
CT-09,Synthesis,Implement Murali–De Micheli (ICCAD 2006) synthesis heuristic in Python,Input: Pair A's traffic matrix. Output: irregular topology as adjacency list. Constrain by port budget.,synth_topology.py + generated topology,Sowmith + Abhitha,,Not Started,,
CT-10,Synthesis,Run synthesized topology on 16-tile LLaMA-2 7B attention traffic via anynet,First custom-topology Booksim result; add to sweep + Pareto,Custom topology on Pareto plot,Sowmith + Abhitha,,Not Started,,
CT-11,Synthesis,Iterate: synthesize per-workload (attention vs FFN vs 70B) — do the fabrics differ?,One synthesized topology per matrix family; compare structures,Per-workload topology comparison,Sowmith + Abhitha,,Not Started,,
,Phase 3 — Custom C++ Topology (worked example → real candidates),,,,Sowmith + Abhitha,,Not Started,,
CT-12,Custom C++,"Ring16 teaching example: subclass Network (_ComputeSize + _BuildNet), min_ring routing, factory registration, Makefile",cd /opt/booksim2/src && make. Container edits are EPHEMERAL — persist as files + patch in booksim-ext/ like matrixtraffic.,ring16 running; 'why topology matters' plot (bisection=2 saturates early),Sowmith + Abhitha,,Not Started,,
CT-13,Custom C++,Persist all C++ topology work as booksim-ext/ patches + rebuild instructions,Mirror matrix_traffic.patch pattern; document BOOKSIM_BIN env override,Patches committed + README,Sowmith + Abhitha,,Not Started,,
CT-14,Custom C++,(Stretch) Hybrid/express-link mesh: mesh + express links on hotspot pairs from the traffic matrix,Candidate differentiator if synthesis result is close to mesh — data-driven express channels,Express-mesh candidate results,Sowmith + Abhitha,,Not Started,,
,Phase 4 — The Differentiators (what makes the paper novel),,,,Sowmith + Abhitha,,Not Started,,
CT-15,Differentiator,D1: AI-inference-specific topology preset — the Pareto winner with robustness evidence,Highest robustness score across the 20-matrix sweep becomes THE recommendation,Inference preset documented with data,Sowmith + Abhitha,,Not Started,,
CT-16,Differentiator,D2: Training vs inference presets — one topology or two?,All-to-all training matrix vs inference matrices across all 5+ topologies; decide 1 vs 2 presets,Preset recommendation agreed (Wk10 Fri sync),Sowmith + Abhitha,,Not Started,,
CT-17,Differentiator,D3: Area-constrained winner — best topology at ≤10% area overhead vs mesh,The practical deployment claim,Area-constrained recommendation,Sowmith + Abhitha,,Not Started,,
CT-18,Differentiator,D4: Headline % claim — 'topology X reduces energy by Y% vs mesh for attention inference',Accelergy-validated (Wk13); this number goes in the paper abstract,Abstract claim agreed at Wk13 Fri sync,Sowmith + Abhitha,,Not Started,,
CT-19,Differentiator,IP / patent review of any novel synthesized topology or result,Flag to coordinator at Wk12 checkpoint; results stay private CI artifacts per IP rules (no public Pages),Patent flag decision recorded,Sowmith + Abhitha,,Not Started,,
,Fairness Guardrails (apply to every candidate),,,,Sowmith + Abhitha,,Not Started,,
CT-20,Guardrail,"Identical num_vcs, vc_buf_size, packet_size, RATES grid across ALL configs","Otherwise you compare buffer budgets, not topologies. Audit before every sweep.",Fairness audit log per sweep,Sowmith + Abhitha,,Not Started,,
CT-21,Guardrail,Matrix size = terminal count for every topology (16 default; regenerate -n N otherwise),matrixtraffic guardrail rejects mismatches — treat rejection as config bug,No N-mismatch failures in sweeps,Sowmith + Abhitha,,Not Started,,
